date_str,source,url,themes,locations,persons,organizations,tone,translation_info,full_text
20260308170000,Panorama It,https://www.panorama.it/attualita/discoteche-la-fine-di-unepoca-in-italia-ne-sono-sparite-oltre-2-100,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308165134,Il Post,https://www.ilpost.it/2026/03/08/cuba-emigrazione/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308121446,Qds,https://qds.it/scuole-sicilia-pronto-piano-dimensionamento/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308093456,Unione,https://www.unionesarda.it/programmaus/immigrati-a-6-4-milioni-occupazione-elevata-ma-con-basse-qualifiche-c1ilkp9v,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308091127,Unione,https://www.unionesarda.it/programmaus/imprese-piu-strutturate-e-attive-nel-settore-dei-servizi-ywlart6x,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308081000,Libero Quotidiano,https://www.liberoquotidiano.it/news/politica/46706281/le-donne-non-vogliono-piu-scegliere-tra-figli-e-lavoro/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308074215,Il Sole 24 Ore,https://www.ilsole24ore.com/art/roccella-lavoro-la-sfida-conciliazione-meglio-incentivi-che-obblighi-AIre3OpB,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260308030002,Corriere Adriatico,https://www.corriereadriatico.it/fermo/montegranaro_diaspora_scuole_medie_polemica_se_ne_vanno_via_venti-9402166.html,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307235619,Beppe Grillo,https://beppegrillo.it/la-cina-punta-sulla-fecondazione-in-vitro-contro-il-crollo-delle-nascite/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307205127,Notizie Geopolitiche,https://www.notiziegeopolitiche.net/america-latina-le-nascite-decelerano-e-rappresentano-solo-il-7-globale/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307142900,Dday,https://www.dday.it/redazione/56650/tre-anni-dopo-chatgpt-i-dati-sulloccupazione-non-mostrano-il-disastro-previsto-anthropic-dice-la-sua,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307142300,Novaratoday,https://www.novaratoday.it/economia/imprese-femminili-novara-vco-2025.html,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307132130,Corriere Dell'irpinia,https://corriereirpinia.it/aree-interne-fiordellisi-il-declino-non-e-naturale-e-una-scelta-politica/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307115512,Il Sole 24 Ore,https://www.infodata.ilsole24ore.com/2026/03/07/il-colore-della-politica-globale-nel-2026-non-e-uniforme-e-non-promette-bene/,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307114008,Money.it,https://www.money.it/cosa-prevede-progetto-cina-25-miliardi-combattere-crollo-demografico,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
20260307085056,Ternitoday,https://www.ternitoday.it/attualita/immigrazione-umbria-dossier-crescita-straniera-presenza-asiatica-terni.html,,,,,,srclc:ita,ONLY AVAILABLE IN PAID PLANS
